	Steps	Time [s]	[A] Acceleration Y on Body-1 - 1 Node - Tip [m/s²]	[B] Acceleration Y on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[C] Position Y on Body-1 - 1 Node-Tip [m]	[D] Kinetic Energy on Body-1-Flare-1 - 2 Bodies [J]	[E] Position Z on Body-1 - 1 Node-Tip [m]	[F] Position Y on Body-1 - 1 Node-Tail [m]	[G] Acceleration Z on Body-1 - 1 Node - Tip [m/s²]	[H] Acceleration Z on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[I] Position Z on Body-1 - 1 Node-Tail [m]	
1	1	0.	0.	42.171	1.048e-002	78286	-4.3477e-004	2.2981	0.	333.24	-2.4816e-003	
2	1	1.5025e-003	551.74	355.57	-5.3056e-002	77164	-1.1503e-002	2.2346	302.85	-175.25	-1.3859e-002	
3	1	2.9935e-003	568.2	578.07	-0.1155	75756	-2.1945e-002	2.1721	-1026.5	-506.88	-2.525e-002	
4	1	4.2805e-003	602.48	678.44	-0.16897	73937	-3.0992e-002	2.1187	-598.96	-505.16	-3.4894e-002	
5	1	5.4198e-003	779.76	685.78	-0.2158	72343	-3.8505e-002	2.0718	57.272	-221.89	-4.3657e-002	
6	1	6.4156e-003	585.1	632.88	-0.25627	70887	-4.4422e-002	2.0313	-194.92	117.96	-5.1518e-002	
7	1	7.3345e-003	605.79	565.25	-0.29325	69328	-4.9599e-002	1.9943	502.4	260.21	-5.8771e-002	
8	1	8.1917e-003	369.06	530.21	-0.32731	67973	-5.417e-002	1.9602	1105.3	94.085	-6.5514e-002	
9	1	9.0053e-003	708.73	533.82	-0.35932	66212	-5.8289e-002	1.9281	-1708.1	-117.21	-7.1923e-002	
10	1	9.7567e-003	492.79	554.79	-0.3885	64722	-6.1764e-002	1.8989	450.57	-6.403	-7.7866e-002	
11	1	1.0468e-002	596.48	596.91	-0.41585	63411	-6.4712e-002	1.8715	529.94	376.24	-8.3537e-002	
12	1	1.1144e-002	621.84	677.86	-0.44149	61916	-6.7358e-002	1.8458	782.68	732.57	-8.8899e-002	
13	1	1.1785e-002	781.63	777.61	-0.46551	60197	-6.9532e-002	1.8218	873.46	930.43	-9.4013e-002	
14	1	1.2408e-002	923.18	838.07	-0.48857	58921	-7.1304e-002	1.7987	946.06	979.26	-9.9048e-002	
15	1	1.3013e-002	914.85	829.84	-0.5107	57747	-7.277e-002	1.7765	1319.5	923.58	-0.10395	
16	1	1.3608e-002	405.29	779.17	-0.53224	56772	-7.4056e-002	1.7549	-101.24	841.55	-0.10882	
17	1	1.4208e-002	1164.1	690.94	-0.55378	55426	-7.5286e-002	1.7333	1628.4	724.45	-0.11374	
18	1	1.4817e-002	372.89	556.2	-0.57536	54594	-7.6198e-002	1.7117	467.51	497.29	-0.1188	
19	1	1.5449e-002	369.2	444.95	-0.59761	53634	-7.706e-002	1.6894	-228.19	267.73	-0.12405	
20	1	1.6104e-002	417.42	439.2	-0.62045	52949	-7.8025e-002	1.6665	185.23	205.9	-0.12941	
