	Steps	Time [s]	[A] Acceleration Y on Body-1 - 1 Node - Tip [m/s²]	[B] Acceleration Y on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[C] Position Y on Body-1 - 1 Node-Tip [m]	[D] Kinetic Energy on Body-1-Flare-1 - 2 Bodies [J]	[E] Position Z on Body-1 - 1 Node-Tip [m]	[F] Position Y on Body-1 - 1 Node-Tail [m]	[G] Acceleration Z on Body-1 - 1 Node - Tip [m/s²]	[H] Acceleration Z on Body-1 - 1 Node - Tip [Filtered] [m/s²]	[I] Position Z on Body-1 - 1 Node-Tail [m]	
1	1	0.	0.	35.234	1.048e-002	80125	-4.3477e-004	2.2981	0.	111.16	-2.4816e-003	
2	1	1.5025e-003	537.78	281.22	-5.3053e-002	78974	-1.5204e-002	2.2346	403.32	73.246	-1.7644e-002	
3	1	3.0624e-003	559.03	504.63	-0.11848	77893	-3.0001e-002	2.1692	-193.08	185.	-3.3479e-002	
4	1	4.4784e-003				76603						
5	1	4.4784e-003	439.46	684.86	-0.17753		-4.3424e-002	2.1101	-219.84	485.06	-4.767e-002	
6	1	5.8072e-003	817.29	819.62	-0.23258	75517	-5.572e-002	2.055	2025.9	862.97	-6.1083e-002	
7	1	7.0302e-003	1183.9	868.62	-0.28272	73573	-6.5817e-002	2.0048	505.76	1132.2	-7.3874e-002	
8	1	8.0859e-003	747.4	805.91	-0.32541	71456	-7.4215e-002	1.9621	1607.	1198.6	-8.4715e-002	
9	1	9.1106e-003	436.49	669.78	-0.36622	69571	-8.1566e-002	1.9212	791.03	1053.6	-9.5344e-002	
10	1	1.0069e-002	782.02	511.91	-0.40396	67880	-8.7874e-002	1.8834	1542.8	735.91	-0.10538	
11	1	1.0959e-002	251.94	364.76	-0.43848	66276	-9.2816e-002	1.8487	-503.19	381.89	-0.11482	
12	1	1.1856e-002	295.25	271.82	-0.47309	65677	-9.7316e-002	1.814	213.14	166.45	-0.12439	
13	1	1.2734e-002	91.216	280.68	-0.5066	64102	-0.10131	1.7804	321.25	155.2	-0.13384	
14	1	1.3521e-002	455.12	398.21	-0.53632	62717	-0.10453	1.7505	-109.48	293.43	-0.14236	
15	1	1.4253e-002	580.37	580.35	-0.56359	60949	-0.10726	1.7231	1071.1	486.42	-0.1503	
16	1	1.5025e-002	687.05	757.61	-0.59191	59735	-0.10969	1.6945	259.31	652.55	-0.15867	
17	1	1.5774e-002	963.3	853.15	-0.61911	58231	-0.11174	1.6671	879.39	744.45	-0.16676	
18	1	1.6527e-002	1074.6	808.77	-0.64591	56059	-0.11344	1.6401	957.54	733.43	-0.17468	
19	1	1.7245e-002	782.11	652.57	-0.67101	54394	-0.11466	1.6147	711.71	634.42	-0.18226	
20	1	1.8091e-002	-9.0287	519.85	-0.70025	54047	-0.11569	1.5851	404.41	553.01	-0.19122	
21	1	1.8939e-002	401.78	529.87	-0.72942	52995	-0.11646	1.5555	-177.49	601.48	-0.2002	
22	1	1.9758e-002	878.28	654.89	-0.75717	51530	-0.11702	1.5273	1453.7	740.56	-0.20884	
23	1	2.0606e-002	756.37	764.58	-0.78534	49799	-0.11701	1.4986	799.47	802.45	-0.21792	
24	1	2.1405e-002	932.09	753.05	-0.81136	48253	-0.1165	1.4721	1008.8	691.79	-0.22646	
25	1	2.2146e-002	872.98	607.57	-0.83507	46753	-0.11575	1.4479	-185.56	460.15	-0.23445	
26	1	2.2877e-002	156.6	428.21	-0.85816	46387	-0.11487	1.4243	904.21	198.94	-0.2423	
27	1	2.3598e-002	-152.15	353.88	-0.8807	45344	-0.11374	1.4012	-750.69	-28.447	-0.25009	
28	1	2.4314e-002	804.49	412.58	-0.90287	44497	-0.11273	1.3784	232.35	-186.32	-0.25778	
29	1	2.5039e-002	619.9	512.52	-0.92498	43529	-0.11175	1.3557	-316.12	-268.13	-0.2655	
30	1	2.5794e-002	531.03	585.56	-0.94769	42534	-0.1109	1.3323	-301.29	-262.04	-0.27342	
31	1	2.6559e-002	497.14	637.51	-0.9704	41593	-0.11019	1.3089	-251.17	-134.7	-0.2813	
32	1	2.7306e-002	617.63	667.73	-0.99224	40351	-0.10973	1.2864	-99.044	109.69	-0.28886	
33	1	2.8062e-002	1068.1	635.99	-1.0139	39015	-0.10941	1.2641	781.01	392.83	-0.29644	
34	1	2.8837e-002	334.93	535.63	-1.0357	37770	-0.10885	1.2416	478.72	617.57	-0.3043	
35	1	2.961e-002	367.45	435.72	-1.057	36561	-0.10759	1.2194	962.96	743.88	-0.31235	
36	1	3.0347e-002	410.14	416.09	-1.0771	36289	-0.10565	1.1984	820.64	808.54	-0.32022	
37	1	3.1083e-002	269.18	499.73	-1.0968	35633	-0.10377	1.1777	525.96	893.78	-0.32786	
38	1	3.1836e-002	721.19	635.78	-1.1168	34802	-0.10164	1.1567	997.27	1043.	-0.3357	
39	1	3.2599e-002	951.33	723.64	-1.1367	33727	-9.9156e-002	1.1357	889.41	1167.9	-0.3438	
40	1	3.3358e-002	737.01	692.33	-1.156	32642	-9.623e-002	1.1151	2395.1	1095.1	-0.35201	
41	1	3.4101e-002	569.57	562.14	-1.1745	32207	-9.272e-002	1.0952	230.61	784.46	-0.36025	
42	1	3.4816e-002	311.79	418.53	-1.1921	31551	-8.9156e-002	1.0762	132.73	422.74	-0.36817	
43	1	3.5511e-002	77.462	334.2	-1.209	31014	-8.5696e-002	1.0578	24.632	210.51	-0.37584	
44	1	3.6212e-002	665.71	313.73	-1.2258	30373	-8.2099e-002	1.0395	153.94	161.44	-0.38374	
45	1	3.692e-002	331.86	331.4	-1.2426	29919	-7.8253e-002	1.0211	481.85	150.42	-0.39191	
46	1	3.7639e-002	4.1423	393.91	-1.2593	29063	-7.4056e-002	1.0025	213.67	73.621	-0.40031	
47	1	3.836e-002	753.23	499.65	-1.2758	28427	-6.9615e-002	0.98413	-61.575	-45.618	-0.40887	
48	1	3.9069e-002	816.7	605.31	-1.2916	27504	-6.5275e-002	0.96636	-413.55	-86.932	-0.41726	
49	1	3.9767e-002	255.96	688.27	-1.3069	26954	-6.1023e-002	0.94907	-477.13	15.015	-0.42551	
50	1	4.047e-002	1210.2	759.58	-1.3221	26638	-5.6712e-002	0.93172	1213.9	171.36	-0.43382	
51	1	4.1184e-002	696.33	839.36	-1.3372	25401	-5.2387e-002	0.91444	-44.546	270.2	-0.44212	
52	1	4.1895e-002	728.14	968.19	-1.3519	24980	-4.8119e-002	0.89755	-1.5598	329.71	-0.45025	
53	1	4.2588e-002	759.78	1141.2	-1.366	24158	-4.3855e-002	0.8813	-141.64	365.68	-0.45803	
54	1	4.3256e-002	2273.	1240.6	-1.3793	23169	-3.9671e-002	0.86586	2019.2	258.24	-0.46539	
55	1	4.3901e-002	693.67	1163.4	-1.3917	22290	-3.5401e-002	0.85129	-803.91	-25.679	-0.47259	
56	1	4.4532e-002				21858						
57	1	4.4532e-002	996.11	949.34	-1.4036		-3.1346e-002	0.83721	-724.52	-264.92	-0.47963	
58	1	4.5157e-002	684.07	698.37	-1.4152	21000	-2.7385e-002	0.82343	-645.75	-258.03	-0.48668	
59	1	4.5788e-002	558.94	480.69	-1.4266	20513	-2.3441e-002	0.80975	675.77	-73.107	-0.49374	
60	1	4.6404e-002	137.53	351.68	-1.4374	20096	-1.9269e-002	0.79651	-77.376	104.84	-0.50076	
61	1	4.7006e-002	284.3	341.75	-1.4479	19981	-1.5096e-002	0.78357	-57.68	174.35	-0.50764	
62	1	4.7593e-002	615.57	425.02	-1.458	19471	-1.104e-002	0.77109	511.8	89.328	-0.51423	
63	1	4.8164e-002	301.87	542.59	-1.4676	19003	-6.9627e-003	0.75908	510.29	-143.03	-0.52058	
64	1	4.8728e-002	789.85	629.88	-1.4769	18532	-2.7729e-003	0.74732	-1689.5	-366.51	-0.52697	
65	1	4.9298e-002	923.64	632.81	-1.4862	18155	1.2381e-003	0.73558	-69.136	-401.96	-0.53334	
66	1	4.9876e-002	343.72	559.58	-1.4954	17773	5.2694e-003	0.72379	-89.508	-256.99	-0.53978	
67	1	5.0454e-002	341.86	481.06	-1.5045	17526	9.2466e-003	0.71212	-233.33	-57.098	-0.54618	
68	1	5.1033e-002	542.38	444.44	-1.5135	17161	1.3206e-002	0.70054	350.69	102.72	-0.55254	
69	1	5.1611e-002	540.93	446.39	-1.5223		1.7144e-002	0.68908	265.2	183.43	-0.55888	
70	1	5.1611e-002				16870						
71	1	5.2184e-002	258.53	481.88	-1.5309	16605	2.099e-002	0.67782	46.505	207.25	-0.56512	
72	1	5.2756e-002	648.23	547.38	-1.5394	16269	2.4747e-002	0.66667	225.89	232.47	-0.57126	
73	1	5.333e-002	661.98	616.6	-1.5478	15883	2.848e-002	0.65562	244.88	291.98	-0.57732	
74	1	5.3912e-002	651.22	661.94	-1.5561	15504	3.2212e-002	0.64459	413.12	377.33	-0.58338	
75	1	5.4498e-002	641.13	676.39	-1.5643	15189	3.5919e-002	0.63361	432.22	460.57	-0.58945	
76	1	5.5063e-002	753.81	662.16	-1.5722	14846	3.9434e-002	0.62313	596.35	513.2	-0.59527	
77	1	5.5609e-002	667.98	632.09	-1.5796	14540	4.2764e-002	0.61316	556.37	522.76	-0.60082	
78	1	5.6142e-002	421.34	617.94	-1.5867	14263	4.5975e-002	0.60353	443.04	503.94	-0.60618	
79	1	5.6676e-002	698.69	641.48	-1.5937	13945	4.9159e-002	0.59399	533.	488.28	-0.61147	
80	1	5.7222e-002	736.68	687.86	-1.6007	13619	5.2357e-002	0.58437	355.15	501.04	-0.6168	
81	1	5.7764e-002	755.77	731.93	-1.6076	13286	5.5462e-002	0.57496	647.09	544.26	-0.622	
82	1	5.8306e-002	717.35	768.78	-1.6143	12896	5.8509e-002	0.56572	569.09	599.36	-0.62711	
83	1	5.8846e-002	771.49	802.23	-1.6208	12550	6.1473e-002	0.55668	623.72	644.26	-0.6321	
84	1	5.9385e-002				12156						
85	1	5.9385e-002	908.89	824.96	-1.6272		6.4405e-002	0.54782	774.62	663.1	-0.63701	
86	1	5.9907e-002	795.48	826.26	-1.6332	11799	6.7205e-002	0.5394	615.61	654.59	-0.64167	
87	1	6.0417e-002	831.77	808.04	-1.6389	11484	6.9879e-002	0.53132	579.28	636.3	-0.64618	
88	1	6.0914e-002				11250						
89	1	6.0914e-002	831.5	786.5	-1.6444		7.2431e-002	0.52357	730.93	629.39	-0.65054	
90	1	6.1403e-002	785.59	792.97	-1.6497	10943	7.4898e-002	0.51604	654.86	656.	-0.65481	
91	1	6.1882e-002	763.36	869.68	-1.6547	10653	7.7255e-002	0.5088	631.16	750.29	-0.65896	
92	1	6.2352e-002	701.31	1026.4	-1.6596	10414	7.9511e-002	0.5018	545.46	918.57	-0.66301	
93	1	6.2818e-002	1357.5	1177.3	-1.6643	9948.1	8.1663e-002	0.49499	1240.	1061.1	-0.667	
94	1	6.3285e-002	1582.2	1168.	-1.6688	9446.4	8.3704e-002	0.48839	1592.6	1001.	-0.67091	
95	1	6.375e-002	1223.1	933.16	-1.6732	8985.6	8.5638e-002	0.48203	892.98	673.46	-0.67474	
96	1	6.4211e-002	-3.8577	596.2	-1.6774	8738.5	8.7484e-002	0.47588	-413.75	239.78	-0.67845	
97	1	6.4668e-002	259.2	340.69	-1.6815	8524.3	8.9289e-002	0.46989	-217.92	-77.957	-0.682	
98	1	6.5121e-002	290.32	224.64	-1.6855	8325.5	9.1068e-002	0.46402	-8.7277	-211.79	-0.68542	
